,colsample_bytree,max_depth,min_child_weight,train,n_estimators,valid
0,0.304166308208,6.0,263.0,0.3246952,1083,0.260214174161
1,0.615082182968,15.0,2.0,0.1303044,452,0.110981873229
2,0.664821987212,2.0,58.0,0.1813364,2782,0.16300077531
3,0.178665677614,3.0,2.0,0.1633084,1564,0.143450187317
4,0.26736878098,2.0,66.0,0.182586,2866,0.163553018144
5,0.218267630356,6.0,1026.0,0.6931446,15,0.693145515919
6,0.644765713863,6.0,96.0,0.1734664,2215,0.14683251311
7,0.599313062408,7.0,3.0,0.1250734,542,0.107449354518
8,0.449225998106,19.0,181.0,0.2342738,2420,0.188522179664
9,0.845773877537,8.0,517.0,0.4820118,792,0.43078442398
10,0.198600510803,3.0,29.0,0.154065,2092,0.134386917076
11,0.664971090454,10.0,659.0,0.5349762,102,0.504932529178
12,0.275858358051,7.0,198.0,0.2577306,1908,0.204985871231
13,0.292115695807,4.0,3.0,0.138635,1106,0.125563307801
14,0.725833870832,3.0,1902.0,0.693146,0,0.693147182465
15,0.391624774969,14.0,401.0,0.440599,641,0.37278314169
16,0.94080100771,15.0,51.0,0.1491958,1282,0.12512889482
17,0.100886298772,3.0,397.0,0.4397386,648,0.383887811695
18,0.138729773775,11.0,1539.0,0.6931446,15,0.693145515919
19,0.690386234956,12.0,1362.0,0.6931446,15,0.693145515919
20,0.52450046006,19.0,7.0,0.1291254,525,0.10884545457
21,0.498597876764,19.0,7.0,0.1289576,588,0.107447479106
22,0.811037994928,9.0,10.0,0.1293498,599,0.108510471198
23,0.513004922657,17.0,13.0,0.1298676,754,0.108537485386
24,0.41834950143,12.0,5.0,0.12815,586,0.108429970792
25,0.360977757522,12.0,1.0,0.1322588,576,0.111267747283
26,0.600864124678,9.0,21.0,0.1332244,963,0.113627920949
27,0.430647351966,13.0,1.0,0.1321836,534,0.108475819454
28,0.800920048281,5.0,4.0,0.129001,753,0.112283079864
29,0.568287602551,8.0,1.0,0.1267824,507,0.104680752361
30,0.960533183418,7.0,2.0,0.126106,418,0.109782907784
31,0.983365282586,5.0,2.0,0.1289044,681,0.112327091122
32,0.926078836401,1.0,2.0,0.3686844,1569,0.36075093357
33,0.735199228091,7.0,20.0,0.1353106,705,0.115981906921
34,0.875924729635,10.0,3.0,0.1291918,466,0.107197840842
35,0.766067305563,5.0,1.0,0.1286072,626,0.112718741501
36,0.995040407223,1.0,13.0,0.3710964,1445,0.359957916524
37,0.895518088514,7.0,127.0,0.1969084,1982,0.162809360472
38,0.611150310773,9.0,35.0,0.1407306,1032,0.122012081971
39,0.341076085449,4.0,2944.0,0.693146,0,0.693147182465
40,0.460473307866,16.0,2.0,0.1296538,485,0.107391133227
41,0.572116221089,6.0,75.0,0.1679924,1368,0.135924841231
42,0.228891506585,8.0,3.0,0.1384118,676,0.117255204959
43,0.821316295469,11.0,5.0,0.1255052,453,0.108375137425
44,0.656830714442,17.0,6.0,0.1288248,538,0.107876624959
45,0.839956105023,14.0,43.0,0.1456758,1131,0.119722434579
46,0.69230293172,11.0,22.0,0.13397,933,0.112393769651
47,0.760407759683,13.0,10.0,0.1323136,526,0.110067168643
48,0.486536225317,10.0,4.0,0.1264192,531,0.105487658869
49,0.901350554306,15.0,100.0,0.1809066,1957,0.149279307211
50,0.636407472507,11.0,1.0,0.1282814,478,0.109430627572
51,0.701536272677,2.0,15.0,0.1707248,2444,0.155360131787
52,0.794588779233,6.0,10.0,0.1286996,703,0.112256832352
53,0.530493103661,13.0,280.0,0.3428122,612,0.287883289818
54,0.845800143225,18.0,32.0,0.1431162,842,0.121066758749
55,0.580123089125,14.0,3.0,0.1289378,486,0.107168985995
56,0.754557988773,4.0,8.0,0.1344418,1003,0.120097432029
57,0.394551520712,8.0,5.0,0.1282484,612,0.108685363484
58,0.478275357048,10.0,759.0,0.6112012,29,0.581810926259
59,0.312905988356,20.0,1.0,0.1328396,674,0.110774260424
60,0.626236712864,9.0,54.0,0.1529836,1325,0.125353262306
61,0.712627640449,12.0,17.0,0.1304674,834,0.111863713582
62,0.665333119085,2.0,25.0,0.1694382,2652,0.154232739216
63,0.536889077953,16.0,207.0,0.260469,2043,0.206311197522
64,0.160894660447,7.0,1.0,0.1537268,765,0.129027363289
65,0.940766104359,8.0,2.0,0.1253578,468,0.106178498607
66,0.926688812919,8.0,2.0,0.1253578,468,0.106178498607
67,0.959775725249,6.0,2.0,0.1260136,524,0.109515670112
68,0.876246240617,5.0,2.0,0.1280528,730,0.110339980156
69,0.998362065868,9.0,4.0,0.1284534,467,0.107575132347
70,0.93814454317,4.0,1.0,0.1340914,842,0.117912334846
71,0.978536542426,8.0,3.0,0.1283028,417,0.106996432305
72,0.912172987887,3.0,1.0,0.1434084,1332,0.134350853502
73,0.868683599582,5.0,2.0,0.1275836,646,0.114643783476
74,0.787289585718,7.0,8.0,0.1285016,617,0.111627210914
75,0.736131312949,8.0,1.0,0.1257398,464,0.106428202071
76,0.250543129546,6.0,3.0,0.1342088,681,0.11900496565
77,0.109980157196,9.0,12.0,0.1827434,1603,0.157831971769
78,0.841310123467,10.0,6.0,0.1281864,504,0.107617224202
79,0.943900715164,4.0,1.0,0.1340914,842,0.117912334846
80,0.669580337203,3.0,41.0,0.1498354,1713,0.128332416645
81,0.818703934074,11.0,2.0,0.1284874,405,0.109048934127
82,0.60048089821,2.0,4.0,0.1766474,2262,0.163048028092
83,0.776066163329,7.0,1.0,0.1234114,483,0.10842441465
84,0.438499929895,7.0,1.0,0.1267098,492,0.105711834156
85,0.779972595904,5.0,137.0,0.203912,1788,0.170283216122
86,0.562844231099,12.0,1.0,0.128725,475,0.111742602902
87,0.744434064106,6.0,67.0,0.1617296,1259,0.135639976283
88,0.680847364499,1.0,8.0,0.3704272,1430,0.360777529753
89,0.718300770528,9.0,6.0,0.127478,592,0.107852293833
90,0.585225923074,7.0,17.0,0.1318882,863,0.110391967661
91,0.640224740988,10.0,3.0,0.128606,458,0.107814912149
92,0.775409770402,13.0,2.0,0.1293446,457,0.106329713728
93,0.554436037732,6.0,4.0,0.1291436,664,0.109149551641
94,0.802642642347,2.0,474.0,0.4680444,720,0.414704517574
95,0.875851027009,10.0,2049.0,0.693146,0,0.693147182465
96,0.516044832531,8.0,27.0,0.1383878,1019,0.116295748005
97,0.378517453915,3.0,1.0,0.1505558,1420,0.135160312768
98,0.470223442332,5.0,11.0,0.1313916,953,0.110201612765
99,0.501492045173,11.0,1.0,0.127454,398,0.106980807959
